x,fecha
0.429795,1991-07-01
0.400906,1991-08-01
0.432159,1991-09-01
0.492543,1991-10-01
0.502369,1991-11-01
0.602652,1991-12-01
0.660119,1992-01-01
0.33622,1992-02-01
0.351348,1992-03-01
0.379808,1992-04-01
0.361801,1992-05-01
0.410534,1992-06-01
0.48338867,1992-07-01
0.47546342,1992-08-01
0.53476104,1992-09-01
0.56860613,1992-10-01
0.59522329,1992-11-01
0.77125778,1992-12-01
0.7515028,1993-01-01
0.38755434,1993-02-01
0.42728322,1993-03-01
0.41389018,1993-04-01
0.42885882,1993-05-01
0.47012642,1993-06-01
0.50920969,1993-07-01
0.558443,1993-08-01
0.60151406,1993-09-01
0.6329471,1993-10-01
0.69960539,1993-11-01
0.96308051,1993-12-01
0.81932534,1994-01-01
0.4376698,1994-02-01
0.50612127,1994-03-01
0.47049117,1994-04-01
0.51069626,1994-05-01
0.54051379,1994-06-01
0.55811892,1994-07-01
0.67285206,1994-08-01
0.68589738,1994-09-01
0.68969198,1994-10-01
0.74130358,1994-11-01
0.81330763,1994-12-01
0.80311257,1995-01-01
0.47525824,1995-02-01
0.5525723,1995-03-01
0.52710782,1995-04-01
0.56124982,1995-05-01
0.58897764,1995-06-01
0.62313362,1995-07-01
0.74083723,1995-08-01
0.72537176,1995-09-01
0.81580302,1995-10-01
0.81400947,1995-11-01
0.92665305,1995-12-01
0.93727594,1996-01-01
0.52876165,1996-02-01
0.55933994,1996-03-01
0.57787166,1996-04-01
0.61492741,1996-05-01
0.59418877,1996-06-01
0.70775844,1996-07-01
0.71950195,1996-08-01
0.74432369,1996-09-01
0.80485511,1996-10-01
0.78854235,1996-11-01
0.9710894,1996-12-01
0.84683354,1997-01-01
0.46382252,1997-02-01
0.48527317,1997-03-01
0.5280586,1997-04-01
0.56233647,1997-05-01
0.5885704,1997-06-01
0.66948036,1997-07-01
0.67799365,1997-08-01
0.76299549,1997-09-01
0.79972374,1997-10-01
0.77052192,1997-11-01
0.99438934,1997-12-01
0.80054443,1998-01-01
0.49055721,1998-02-01
0.52440799,1998-03-01
0.53664948,1998-04-01
0.55209054,1998-05-01
0.60336564,1998-06-01
0.68124538,1998-07-01
0.67807535,1998-08-01
0.79489265,1998-09-01
0.7846239,1998-10-01
0.8130087,1998-11-01
0.9777323,1998-12-01
0.89308148,1999-01-01
0.51269597,1999-02-01
0.65299589,1999-03-01
0.5739764,1999-04-01
0.63923842,1999-05-01
0.70387188,1999-06-01
0.77064824,1999-07-01
0.84618588,1999-08-01
0.89272889,1999-09-01
0.89789988,1999-10-01
0.94728069,1999-11-01
1.05070727,1999-12-01
0.96965567,2000-01-01
0.57329151,2000-02-01
0.61850684,2000-03-01
0.61899573,2000-04-01
0.66520922,2000-05-01
0.72652015,2000-06-01
0.85586494,2000-07-01
0.86598429,2000-08-01
0.82524883,2000-09-01
0.95542102,2000-10-01
0.93859596,2000-11-01
1.01302442,2000-12-01
1.04380535,2001-01-01
0.51064725,2001-02-01
0.67256901,2001-03-01
0.64847006,2001-04-01
0.70411469,2001-05-01
0.69943075,2001-06-01
0.85192587,2001-07-01
0.9077052,2001-08-01
0.86744447,2001-09-01
1.02429281,2001-10-01
1.10959022,2001-11-01
1.01231323,2001-12-01
1.14586761,2002-01-01
0.57558438,2002-02-01
0.64116459,2002-03-01
0.67986207,2002-04-01
0.7679384,2002-05-01
0.75209591,2002-06-01
0.91806359,2002-07-01
0.92436753,2002-08-01
1.01319767,2002-09-01
1.02697609,2002-10-01
1.00679597,2002-11-01
1.10277568,2002-12-01
1.07814487,2003-01-01
0.57829619,2003-02-01
0.64333332,2003-03-01
0.66336735,2003-04-01
0.750516,2003-05-01
0.80074564,2003-06-01
0.91636103,2003-07-01
0.91688682,2003-08-01
1.08465893,2003-09-01
1.15064822,2003-10-01
1.05083821,2003-11-01
1.22323454,2003-12-01
1.13012521,2004-01-01
0.66798867,2004-02-01
0.74901428,2004-03-01
0.73998602,2004-04-01
0.79512863,2004-05-01
0.85680282,2004-06-01
1.00159317,2004-07-01
0.99486433,2004-08-01
1.134432,2004-09-01
1.181011,2004-10-01
1.216037,2004-11-01
1.257238,2004-12-01
1.17069,2005-01-01
0.597639,2005-02-01
0.65259,2005-03-01
0.670505,2005-04-01
0.695248,2005-05-01
0.842263,2005-06-01
0.874336,2005-07-01
1.006497,2005-08-01
1.094736,2005-09-01
1.027043,2005-10-01
1.149232,2005-11-01
1.160712,2005-12-01
1.230691,2006-01-01
0.587135,2006-02-01
0.706959,2006-03-01
0.639641,2006-04-01
0.807405,2006-05-01
0.79797,2006-06-01
0.884312,2006-07-01
1.049648,2006-08-01
0.995709,2006-09-01
1.168253,2006-10-01
1.108038,2006-11-01
1.120053,2006-12-01
1.223319,2007-01-01
0.597753,2007-02-01
0.704398,2007-03-01
0.56176,2007-04-01
0.745258,2007-05-01
0.837934,2007-06-01
0.954144,2007-07-01
1.07821949,2007-08-01
1.11098161,2007-09-01
1.10997914,2007-10-01
1.1635343,2007-11-01
1.176589,2007-12-01
1.219941,2008-01-01
0.761822,2008-02-01
0.649435,2008-03-01
0.827887,2008-04-01
0.816255,2008-05-01
0.762137,2008-06-01
